MATCH_0: 	First Half starts.
MATCH_6: 59'	Bukayo Saka - Arsenal - won a free kick in attack.
MATCH_6: 59'	Fouled by Konrad Laimer - FC Bayern München
MATCH_6: 61'	Missed chance. Konrad Laimer - FC Bayern München - shot with right foot from outside the box goes high.
MATCH_6: 62'	Shot blocked. Gabriel Martinelli - Arsenal - shot with right foot from outside the box is blocked. Assist - Martin Ødegaard.
MATCH_6: 64'	Harry Kane - FC Bayern München
MATCH_6: 64'	Oleksandr Zinchenko - Arsenal - won a free kick in defence.
MATCH_6: 65'	Missed chance. Serge Gnabry - FC Bayern München - shot with left foot from the left side of the box is high and wide to the left. Assist - Leroy Sané following a fast break.
MATCH_6: 66'	Substitution - FC Bayern München. Kingsley Coman for Leroy Sané.
MATCH_6: 66'	Substitution - Arsenal. Leandro Trossard for Gabriel Martinelli.
MATCH_6: 67'	Substitution - Arsenal. Gabriel Jesus for Jorginho.
MATCH_6: 68'	Shot blocked. Declan Rice - Arsenal - shot with right foot from outside the box is blocked. Assist - Gabriel Jesus.
MATCH_6: 68'	Shot blocked. Harry Kane - FC Bayern München - shot with right foot from outside the box is blocked. Assist - Joshua Kimmich.
MATCH_6: 68'	Corner - FC Bayern München. Conceded by Declan Rice.
MATCH_6: 69'	Delay in match - injury Serge Gnabry - FC Bayern München
MATCH_6: 70'	Delay over. They are ready to continue.
MATCH_6: 70'	Substitution - FC Bayern München. Raphaël Guerreiro for Serge Gnabry - injury.
MATCH_6: 71'	Offside - FC Bayern München. Kingsley Coman is in offside.
MATCH_6: 73'	Delay in match - injury Eric Dier - FC Bayern München
MATCH_6: 74'	Delay over. They are ready to continue.
MATCH_6: 76'	Goal! Arsenal 2, FC Bayern München 2. Leandro Trossard - Arsenal - shot with right foot from the centre of the box to the left corner. Assist - Gabriel Jesus.
MATCH_6: 77'	Offside - FC Bayern München. Harry Kane is in offside.
MATCH_6: 78'	Fouled by Martin Ødegaard - Arsenal
MATCH_6: 78'	Harry Kane - FC Bayern München - won a free kick in defence.
MATCH_6: 81'	Fouled by Gabriel Magalhães - Arsenal
MATCH_6: 81'	Kingsley Coman - FC Bayern München - won a free kick in defence.
MATCH_6: 81'	Missed chance. Kingsley Coman - FC Bayern München - shot with left foot from outside the box is close, but missed. Assist - Jamal Musiala.
MATCH_6: 84'	Declan Rice - Arsenal - won a free kick in defence.
MATCH_6: 84'	Fouled by Konrad Laimer - FC Bayern München
MATCH_6: 86'	Substitution - Arsenal. Thomas Partey for Kai Havertz.
MATCH_6: 86'	Fouled by Bukayo Saka - Arsenal
MATCH_6: 86'	Jamal Musiala - FC Bayern München - won a free kick in attack.
MATCH_6: 89'	Fouled by Thomas Partey - Arsenal
MATCH_6: 89'	Jamal Musiala - FC Bayern München - won a free kick in defence.
MATCH_6: 89'	Thomas Partey - Arsenal - receive yellow card for a foul.
MATCH_6: 90'	Kingsley Coman - FC Bayern München - hits the left post with a shot with right foot from few metres. Assist - Jamal Musiala.
MATCH_6: 90+6'	Second Half ended - Arsenal 2, FC Bayern München 2.
MATCH_6: 	Thats all. Game finished - Arsenal 2, FC Bayern München 2.
MATCH_7: 	First Half starts.
MATCH_7: 1'	Fouled by João Cancelo - Barcelona
MATCH_7: 1'	Ousmane Dembélé - Paris Saint Germain - won a free kick on the right wing.
MATCH_7: 2'	Corner - Paris Saint Germain. Conceded by Pau Cubarsí.
MATCH_7: 5'	Missed chance. Kylian Mbappé - Paris Saint Germain - shot with right foot from the left side of the box missed. Assist - Nuno Mendes.
MATCH_7: 7'	New attacking attempt. Lee Kang-In - Paris Saint Germain - shot with left foot from the right side of the box is saved by goalkeeper in the centre of the goal. Assist - Ousmane Dembélé.
MATCH_7: 7'	Fouled by Fabián Ruiz - Paris Saint Germain
MATCH_7: 7'	Lamine Yamal - Barcelona - won a free kick in defence.
MATCH_7: 7'	Offside - Barcelona. Ilkay Gündogan is in offside.
MATCH_7: 9'	Shot blocked. Ousmane Dembélé - Paris Saint Germain - shot with left foot from the right side of the box is blocked. Assist - Marquinhos.
MATCH_7: 9'	Corner - Paris Saint Germain. Conceded by Pau Cubarsí.
MATCH_7: 10'	Fouled by Raphinha - Barcelona
MATCH_7: 10'	Nuno Mendes - Paris Saint Germain - won a free kick on the left wing.
MATCH_7: 11'	New attacking attempt. Marco Asensio - Paris Saint Germain - shot with left foot from outside the box is saved in the top centre of the goal. Assist - Ousmane Dembélé.
MATCH_7: 11'	Fouled by Nuno Mendes - Paris Saint Germain
MATCH_7: 11'	Lamine Yamal - Barcelona - won a free kick in defence.
MATCH_7: 12'	Shot blocked. Kylian Mbappé - Paris Saint Germain - shot with right foot from the left side of the box is blocked. Assist - Marco Asensio.
MATCH_7: 12'	Shot blocked. Ousmane Dembélé - Paris Saint Germain - shot with left foot from the right side of the box is blocked. Assist - Lee Kang-In.
MATCH_7: 13'	Delay in match - injury Raphinha - Barcelona
MATCH_7: 14'	Delay over. They are ready to continue.
MATCH_7: 16'	Corner - Paris Saint Germain. Conceded by Pau Cubarsí.
MATCH_7: 17'	Fouled by Beraldo - Paris Saint Germain
MATCH_7: 17'	Robert Lewandowski - Barcelona - won a free kick in defence.
MATCH_7: 19'	Shot blocked. Nuno Mendes - Paris Saint Germain - shot with left foot from the left side of the box is blocked. Assist - Vitinha.
MATCH_7: 20'	Shot blocked. Raphinha - Barcelona - shot with left foot from the left side of the box is blocked. Assist - Robert Lewandowski.
MATCH_7: 20'	Corner - Barcelona. Conceded by Marquinhos.
MATCH_7: 20'	Shot blocked. Robert Lewandowski - Barcelona - shot with the head from few metres is blocked. Assist - Ilkay Gündogan with a cross.
MATCH_7: 20'	Shot blocked. Lamine Yamal - Barcelona - shot with left foot from the left side of the box is blocked. Assist - Ilkay Gündogan.
MATCH_7: 20'	Corner - Barcelona. Conceded by Marco Asensio.
MATCH_7: 21'	Missed chance. Ilkay Gündogan - Barcelona - shot with right foot from the left side of the box missed to the left. Assist - Ronald Araujo after corner.
MATCH_7: 23'	New attacking attempt. Raphinha - Barcelona - shot with left foot from outside the box is saved in the right corner. Assist - Sergi Roberto.
MATCH_7: 23'	Corner - Barcelona. Conceded by Gianluigi Donnarumma.
MATCH_7: 24'	Fouled by Kylian Mbappé - Paris Saint Germain
MATCH_7: 24'	Jules Koundé - Barcelona - won a free kick on the right wing.
MATCH_7: 26'	Missed chance. João Cancelo - Barcelona - shot with right foot from outside the box missed to the left. Assist - Raphinha.
MATCH_7: 28'	New attacking attempt. Lee Kang-In - Paris Saint Germain - shot with left foot from the right side of the box is saved in the right corner. Assist - Kylian Mbappé.
MATCH_7: 28'	Offside - Paris Saint Germain. Kylian Mbappé is in offside.
MATCH_7: 30'	Beraldo - Paris Saint Germain - won a free kick in defence.
MATCH_7: 30'	Fouled by Robert Lewandowski - Barcelona
MATCH_7: 33'	Corner - Barcelona. Conceded by Gianluigi Donnarumma.
MATCH_7: 34'	Shot blocked. Raphinha - Barcelona - shot with left foot from the centre of the box is blocked. Assist - Ilkay Gündogan with a cross.
MATCH_7: 34'	Fouled by Sergi Roberto - Barcelona
MATCH_7: 34'	Marco Asensio - Paris Saint Germain - won a free kick in defence.
MATCH_7: 34'	Sergi Roberto - Barcelona - receive yellow card for a foul.
MATCH_7: 36'	Fouled by Beraldo - Paris Saint Germain
MATCH_7: 36'	Robert Lewandowski - Barcelona - won a free kick in defence.
MATCH_7: 37'	Goal! Paris Saint Germain 0, Barcelona 1. Raphinha - Barcelona - shot with right foot from the centre of the box to the high centre of the goal.
MATCH_7: 38'	Fouled by Kylian Mbappé - Paris Saint Germain
MATCH_7: 38'	Jules Koundé - Barcelona - won a free kick in defence.
MATCH_7: 41'	Missed chance. João Cancelo - Barcelona - shot with right foot from the left side of the box missed to the left.
MATCH_7: 43'	Offside - Paris Saint Germain. Kylian Mbappé is in offside.
MATCH_7: 45'	Offside - Barcelona. Robert Lewandowski is in offside.
MATCH_7: 45+1'	Missed chance. Lamine Yamal - Barcelona - shot with left foot from the right side of the box is high and wide to the left. Assist - Raphinha.
MATCH_7: 45+2'	Fouled by Marco Asensio - Paris Saint Germain
MATCH_7: 45+2'	Jules Koundé - Barcelona - won a free kick in defence.
MATCH_7: 45+3'	First Half ended - Paris Saint Germain 0, Barcelona 1.
MATCH_7: 45'	Second Half starts Paris Saint Germain 0, Barcelona 1.
MATCH_7: 45'	Substitution - Paris Saint Germain. Bradley Barcola for Marco Asensio.
MATCH_7: 46'	Offside - Barcelona. Robert Lewandowski is in offside.
MATCH_7: 47'	Missed chance. Vitinha - Paris Saint Germain - shot with right foot from outside the box is high and wide to the right. Assist - Kylian Mbappé.
MATCH_7: 48'	Goal! Paris Saint Germain 1, Barcelona 1. Ousmane Dembélé - Paris Saint Germain - shot with left foot from the left side of the box to the top left corner.
MATCH_7: 50'	Goal! Paris Saint Germain 2, Barcelona 1. Vitinha - Paris Saint Germain - shot with right foot from the right side of the box to the left corner. Assist - Fabián Ruiz with a through ball.
MATCH_7: 52'	Missed chance. Robert Lewandowski - Barcelona - shot with the head from the centre of the box missed. Assist - Lamine Yamal with a cross.
MATCH_7: 53'	Fouled by Raphinha - Barcelona
MATCH_7: 53'	Lucas Hernández - Paris Saint Germain - won a free kick in defence.
MATCH_7: 55'	New attacking attempt. Bradley Barcola - Paris Saint Germain - shot with right foot from the right side of the box is saved in the top centre of the goal. Assist - Lee Kang-In.
MATCH_7: 55'	Corner - Paris Saint Germain. Conceded by Marc-André ter Stegen.
MATCH_7: 56'	Corner - Paris Saint Germain. Conceded by Raphinha.
MATCH_7: 57'	Shot blocked. Fabián Ruiz - Paris Saint Germain - shot with left foot from outside the box is blocked. Assist - Lee Kang-In.
MATCH_7: 57'	Corner - Paris Saint Germain. Conceded by Ronald Araujo.
MATCH_7: 60'	Fouled by Fabián Ruiz - Paris Saint Germain
MATCH_7: 60'	Sergi Roberto - Barcelona - won a free kick in defence.
MATCH_7: 61'	Substitution - Paris Saint Germain. Warren Zaïre-Emery for Lee Kang-In.
MATCH_7: 61'	Substitution - Barcelona. João Félix for Lamine Yamal.
MATCH_7: 61'	Substitution - Barcelona. Pedri for Sergi Roberto.
MATCH_7: 62'	Goal! Paris Saint Germain 2, Barcelona 2. Raphinha - Barcelona - shot with left foot from the centre of the box to the left corner. Assist - Pedri with a through ball.
MATCH_7: 64'	Offside - Paris Saint Germain. Kylian Mbappé is in offside.
MATCH_7: 65'	Fouled by Vitinha - Paris Saint Germain
MATCH_7: 65'	João Félix - Barcelona - won a free kick in defence.
MATCH_7: 65'	Vitinha - Paris Saint Germain - receive yellow card for a foul.
MATCH_7: 66'	Fouled by Warren Zaïre-Emery - Paris Saint Germain
MATCH_7: 66'	Frenkie de Jong - Barcelona - won a free kick in attack.
MATCH_7: 68'	Fouled by Vitinha - Paris Saint Germain
MATCH_7: 68'	Robert Lewandowski - Barcelona - won a free kick in attack.
MATCH_7: 70'	New attacking attempt. Raphinha - Barcelona - shot with left foot from outside the box is saved by goalkeeper in the centre of the goal.
MATCH_7: 71'	Shot blocked. Bradley Barcola - Paris Saint Germain - shot with right foot from the centre of the box is blocked. Assist - Vitinha.
MATCH_7: 71'	Fouled by Kylian Mbappé - Paris Saint Germain
MATCH_7: 71'	Pedri - Barcelona - won a free kick in defence.
MATCH_7: 72'	Offside - Paris Saint Germain. Bradley Barcola is in offside.
MATCH_7: 74'	New attacking attempt. João Félix - Barcelona - shot with right foot from outside the box is saved in the right corner. Assist - Raphinha.
MATCH_7: 75'	Ousmane Dembélé - Paris Saint Germain - hits the right post with a shot with right foot from the left side of the box. Assist - Vitinha with a through ball.
MATCH_7: 76'	Substitution - Barcelona. Andreas Christensen for Frenkie de Jong.
MATCH_7: 76'	Substitution - Barcelona. Ferran Torres for Raphinha.
MATCH_7: 76'	Corner - Barcelona. Conceded by Nuno Mendes.
MATCH_7: 77'	Goal! Paris Saint Germain 2, Barcelona 3. Andreas Christensen - Barcelona - shot with the head from few metres to the centre of the goal. Assist - Ilkay Gündogan with a cross after corner.
MATCH_7: 81'	Fouled by Marquinhos - Paris Saint Germain
MATCH_7: 81'	João Félix - Barcelona - won a free kick on the left wing.
MATCH_7: 82'	Bradley Barcola - Paris Saint Germain - won a free kick in defence.
MATCH_7: 82'	Fouled by Pau Cubarsí - Barcelona
MATCH_7: 82'	Pau Cubarsí - Barcelona - receive yellow card for a foul.
MATCH_7: 83'	Shot blocked. Fabián Ruiz - Paris Saint Germain - shot with left foot from outside the box is blocked. Assist - Kylian Mbappé.
MATCH_7: 85'	Substitution - Paris Saint Germain. Gonçalo Ramos for Fabián Ruiz.
MATCH_7: 86'	Substitution - Barcelona. Fermín López for Ilkay Gündogan.
MATCH_7: 87'	Fouled by João Cancelo - Barcelona
MATCH_7: 87'	Lucas Hernández - Paris Saint Germain - won a free kick in attack.
MATCH_7: 87'	Missed chance. Ousmane Dembélé - Paris Saint Germain - shot with right foot from the left side of the box missed. Assist - Bradley Barcola with a cross.
MATCH_7: 88'	Fouled by Andreas Christensen - Barcelona
MATCH_7: 88'	Warren Zaïre-Emery - Paris Saint Germain - won a free kick in attack.
MATCH_7: 88'	Andreas Christensen - Barcelona - receive yellow card for a foul.
MATCH_7: 89'	Fouled by Beraldo - Paris Saint Germain
MATCH_7: 89'	Jules Koundé - Barcelona - won a free kick in defence.
MATCH_7: 89'	Fermín López - Barcelona - receive yellow card.
MATCH_7: 89'	Beraldo - Paris Saint Germain - receive yellow card for a foul.
MATCH_7: 90+2'	Shot blocked. Kylian Mbappé - Paris Saint Germain - shot with right foot from outside the box is blocked. Assist - Ousmane Dembélé.
MATCH_7: 90+3'	Corner - Paris Saint Germain. Conceded by Ronald Araujo.
MATCH_7: 90+4'	Second Half ended - Paris Saint Germain 2, Barcelona 3.
MATCH_7: 	Thats all. Game finished - Paris Saint Germain 2, Barcelona 3.
MATCH_8: 	First Half starts.
MATCH_8: 2'	Shot blocked. Álvaro Morata - Atletico Madrid - shot with right foot from the right side of the box is blocked. Assist - Antoine Griezmann.
MATCH_8: 2'	Corner - Atletico Madrid. Conceded by Ian Maatsen.
MATCH_8: 4'	Fouled by José Giménez - Atletico Madrid
MATCH_8: 4'	Niclas Füllkrug - Borussia Dortmund - won a free kick in defence.
MATCH_8: 4'	Goal! Atletico Madrid 1, Borussia Dortmund 0. Rodrigo De Paul - Atletico Madrid - shot with right foot from the centre of the box to the right corner.
MATCH_8: 7'	Corner - Atletico Madrid. Conceded by Mats Hummels.
MATCH_8: 7'	New attacking attempt. Axel Witsel - Atletico Madrid - shot with right foot from the centre of the box is saved in the top centre of the goal. Assist - Antoine Griezmann with a cross.
MATCH_8: 7'	Corner - Atletico Madrid. Conceded by Gregor Kobel.
MATCH_8: 10'	Corner - Atletico Madrid. Conceded by Nico Schlotterbeck.
MATCH_8: 10'	Shot blocked. Marcos Llorente - Atletico Madrid - shot with right foot from the centre of the box is blocked. Assist - Samuel Lino.
MATCH_8: 13'	New attacking attempt. Samuel Lino - Atletico Madrid - shot with right foot from the centre of the box is saved by goalkeeper in the centre of the goal. Assist - Marcos Llorente.
MATCH_8: 15'	Fouled by Rodrigo De Paul - Atletico Madrid
MATCH_8: 15'	Julian Ryerson - Borussia Dortmund - won a free kick on the right wing.
MATCH_8: 17'	Shot blocked. Antoine Griezmann - Atletico Madrid - shot with right foot from the left side of the box is blocked. Assist - Koke.
MATCH_8: 17'	Corner - Atletico Madrid. Conceded by Nico Schlotterbeck.
MATCH_8: 18'	Emre Can - Borussia Dortmund - won a free kick in defence.
MATCH_8: 18'	Fouled by Axel Witsel - Atletico Madrid
MATCH_8: 19'	Corner - Atletico Madrid. Conceded by Mats Hummels.
MATCH_8: 20'	Missed chance. Álvaro Morata - Atletico Madrid - header inside of six yard box - left side is high and wide to the left. Assist - José Giménez with a head after corner.
MATCH_8: 22'	Felix Nmecha - Borussia Dortmund - won a free kick in defence.
MATCH_8: 22'	Fouled by Koke - Atletico Madrid
MATCH_8: 23'	Fouled by Emre Can - Borussia Dortmund
MATCH_8: 23'	Rodrigo De Paul - Atletico Madrid - won a free kick in attack.
MATCH_8: 24'	Emre Can - Borussia Dortmund - receive yellow card for a foul.
MATCH_8: 24'	Corner - Atletico Madrid. Conceded by Jadon Sancho.
MATCH_8: 27'	Fouled by Samuel Lino - Atletico Madrid
MATCH_8: 27'	Nico Schlotterbeck - Borussia Dortmund - won a free kick in defence.
MATCH_8: 27'	Samuel Lino - Atletico Madrid - receive yellow card for a foul.
MATCH_8: 28'	Emre Can - Borussia Dortmund - won a free kick in defence.
MATCH_8: 28'	Fouled by Marcos Llorente - Atletico Madrid
MATCH_8: 28'	Marcos Llorente - Atletico Madrid - receive yellow card.
MATCH_8: 31'	Corner - Borussia Dortmund. Conceded by José Giménez.
MATCH_8: 31'	Missed chance. Felix Nmecha - Borussia Dortmund - shot with the head from the centre of the box goes high. Assist - Jadon Sancho with a cross after corner.
MATCH_8: 32'	Goal! Atletico Madrid 2, Borussia Dortmund 0. Samuel Lino - Atletico Madrid - shot with right foot from the centre of the box to the right corner. Assist - Antoine Griezmann.
MATCH_8: 35'	Shot blocked. Karim Adeyemi - Borussia Dortmund - shot with left foot from the left side of the box is blocked.
MATCH_8: 35'	Corner - Borussia Dortmund. Conceded by Axel Witsel.
MATCH_8: 36'	Corner - Borussia Dortmund. Conceded by Antoine Griezmann.
MATCH_8: 39'	Fouled by Julian Ryerson - Borussia Dortmund
MATCH_8: 39'	Rodrigo De Paul - Atletico Madrid - won a free kick in defence.
MATCH_8: 43'	Shot blocked. Karim Adeyemi - Borussia Dortmund - shot with left foot from the right side of the box is blocked.
MATCH_8: 43'	New attacking attempt. Ian Maatsen - Borussia Dortmund - shot with left foot from outside the box is saved in the left corner. Assist - Marcel Sabitzer.
MATCH_8: 44'	Delay in match - injury Álvaro Morata - Atletico Madrid
MATCH_8: 45'	Delay over. They are ready to continue.
MATCH_8: 45'	Corner - Atletico Madrid. Conceded by Mats Hummels.
MATCH_8: 45+1'	Missed chance. Jadon Sancho - Borussia Dortmund - shot with right foot from the right side of the box is close, but misses the top right corner. Assist - Niclas Füllkrug.
MATCH_8: 45+1'	First Half ended - Atletico Madrid 2, Borussia Dortmund 0.
MATCH_8: 45'	Second Half starts Atletico Madrid 2, Borussia Dortmund 0.
MATCH_8: 45'	Substitution - Borussia Dortmund. Julian Brandt for Felix Nmecha.
MATCH_8: 48'	New attacking attempt. Marcel Sabitzer - Borussia Dortmund - shot with right foot from outside the box is saved in the left corner. Assist - Jadon Sancho.
MATCH_8: 50'	Fouled by Julian Ryerson - Borussia Dortmund
MATCH_8: 50'	Rodrigo De Paul - Atletico Madrid - won a free kick on the left wing.
MATCH_8: 50'	Fouled by Álvaro Morata - Atletico Madrid
MATCH_8: 50'	Julian Ryerson - Borussia Dortmund - won a free kick in defence.
MATCH_8: 51'	New attacking attempt. Niclas Füllkrug - Borussia Dortmund - shot with left foot from outside the box is saved by goalkeeper in the centre of the goal.
MATCH_8: 53'	New attacking attempt. Nahuel Molina - Atletico Madrid - shot with left foot from the right side of the box is saved in the right corner. Assist - Antoine Griezmann.
MATCH_8: 53'	Fouled by Ian Maatsen - Borussia Dortmund
MATCH_8: 53'	Marcos Llorente - Atletico Madrid - won a free kick on the right wing.
MATCH_8: 53'	Ian Maatsen - Borussia Dortmund - receive yellow card for a foul.
MATCH_8: 54'	Delay in match - injury Marcos Llorente - Atletico Madrid
MATCH_8: 55'	Delay over. They are ready to continue.
MATCH_8: 55'	New attacking attempt. Álvaro Morata - Atletico Madrid - shot with the head from outside the box is saved in the left corner. Assist - Antoine Griezmann with a cross.
MATCH_8: 56'	Shot blocked. Julian Brandt - Borussia Dortmund - shot with right foot from the centre of the box is blocked. Assist - Niclas Füllkrug.
MATCH_8: 56'	Corner - Borussia Dortmund. Conceded by César Azpilicueta.
MATCH_8: 60'	Substitution - Borussia Dortmund. Sébastien Haller for Niclas Füllkrug.
MATCH_8: 63'	Fouled by José Giménez - Atletico Madrid
MATCH_8: 63'	Sébastien Haller - Borussia Dortmund - won a free kick in attack.
MATCH_8: 64'	Substitution - Atletico Madrid. Pablo Barrios for Álvaro Morata.
MATCH_8: 65'	Delay in match - Borussia Dortmund
MATCH_8: 65'	Delay over. They are ready to continue.
MATCH_8: 67'	Dangerous play by Nico Schlotterbeck - Borussia Dortmund
MATCH_8: 67'	Marcos Llorente - Atletico Madrid - won a free kick in defence.
MATCH_8: 70'	Shot blocked. Pablo Barrios - Atletico Madrid - shot with right foot from outside the box is blocked. Assist - Rodrigo De Paul.
MATCH_8: 71'	Corner - Borussia Dortmund. Conceded by Nahuel Molina.
MATCH_8: 72'	Fouled by José Giménez - Atletico Madrid
MATCH_8: 72'	Sébastien Haller - Borussia Dortmund - won a free kick in attack.
MATCH_8: 73'	Substitution - Borussia Dortmund. Jamie Bynoe-Gittens for Karim Adeyemi.
MATCH_8: 73'	Missed chance. Julian Brandt - Borussia Dortmund - shot with right foot from outside the box is very close to the goal from a free kick.
MATCH_8: 74'	Antoine Griezmann - Atletico Madrid - won a free kick on the left wing.
MATCH_8: 74'	Fouled by Julian Ryerson - Borussia Dortmund
MATCH_8: 75'	New attacking attempt. Samuel Lino - Atletico Madrid - shot with right foot from few metres is saved in the right corner. Assist - Antoine Griezmann with a cross.
MATCH_8: 75'	Fouled by José Giménez - Atletico Madrid
MATCH_8: 75'	Julian Ryerson - Borussia Dortmund - won a free kick in defence.
MATCH_8: 75'	José Giménez - Atletico Madrid - receive yellow card for a foul.
MATCH_8: 77'	Fouled by Emre Can - Borussia Dortmund
MATCH_8: 77'	Marcos Llorente - Atletico Madrid - won a free kick on the right wing.
MATCH_8: 80'	Substitution - Atletico Madrid. Ángel Correa for Rodrigo De Paul.
MATCH_8: 81'	Goal! Atletico Madrid 2, Borussia Dortmund 1. Sébastien Haller - Borussia Dortmund - shot with right foot from the centre of the box to the left corner.
MATCH_8: 84'	Substitution - Borussia Dortmund. Marco Reus for Marcel Sabitzer.
MATCH_8: 84'	Substitution - Borussia Dortmund. Salih Özcan for Emre Can.
MATCH_8: 85'	New attacking attempt. Ángel Correa - Atletico Madrid - shot with right foot from the centre of the box is saved by goalkeeper in the centre of the goal.
MATCH_8: 86'	Corner - Borussia Dortmund. Conceded by Axel Witsel.
MATCH_8: 87'	Shot blocked. Jamie Bynoe-Gittens - Borussia Dortmund - shot with left foot from outside the box is blocked.
MATCH_8: 87'	Corner - Borussia Dortmund. Conceded by César Azpilicueta.
MATCH_8: 88'	Corner - Borussia Dortmund. Conceded by Axel Witsel.
MATCH_8: 90'	Substitution - Atletico Madrid. Saúl Ñíguez for Nahuel Molina.
MATCH_8: 90+1'	Substitution - Atletico Madrid. Stefan Savic for Axel Witsel.
MATCH_8: 90+1'	Substitution - Atletico Madrid. Rodrigo Riquelme for Samuel Lino.
MATCH_8: 90+4'	New attacking attempt. Rodrigo Riquelme - Atletico Madrid - shot with right foot from the left side of the box is saved by goalkeeper in the centre of the goal. Assist - Ángel Correa.
MATCH_8: 90+6'	Julian Brandt - Borussia Dortmund - hits the bar with a shot with the head from the centre of the box. Assist - Julian Ryerson with a cross.
MATCH_8: 90+6'	Second Half ended - Atletico Madrid 2, Borussia Dortmund 1.
MATCH_8: 	Thats all. Game finished - Atletico Madrid 2, Borussia Dortmund 1.
MATCH_9: 	First Half starts.
MATCH_9: 2'	Fouled by Emre Can - Borussia Dortmund
MATCH_9: 2'	Koke - Atletico Madrid - won a free kick in defence.
MATCH_9: 3'	Shot blocked. Marcel Sabitzer - Borussia Dortmund - shot with left foot from the centre of the box is blocked. Assist - Karim Adeyemi.
MATCH_9: 4'	Shot blocked. Julian Ryerson - Borussia Dortmund - shot with right foot from the right side of the box is blocked.
MATCH_9: 4'	Corner - Borussia Dortmund. Conceded by César Azpilicueta.
MATCH_9: 5'	Missed chance. Álvaro Morata - Atletico Madrid - shot with left foot from the centre of the box is close, but missed. Assist - Antoine Griezmann with a head following a fast break.
MATCH_9: 6'	New attacking attempt. Rodrigo De Paul - Atletico Madrid - shot with right foot from outside the box is saved by goalkeeper in the centre of the goal. Assist - Nahuel Molina.
MATCH_9: 7'	Corner - Atletico Madrid. Conceded by Ian Maatsen.
MATCH_9: 10'	Hand ball by Karim Adeyemi - Borussia Dortmund
MATCH_9: 12'	Offside - Atletico Madrid. Álvaro Morata is in offside.
MATCH_9: 13'	Offside - Borussia Dortmund. Jadon Sancho is in offside.
MATCH_9: 15'	Corner - Borussia Dortmund. Conceded by José Giménez.
MATCH_9: 16'	Missed chance. Niclas Füllkrug - Borussia Dortmund - shot with the head from the centre of the box missed to the left. Assist - Julian Brandt with a cross after corner.
MATCH_9: 16'	Corner - Borussia Dortmund. Conceded by Nahuel Molina.
MATCH_9: 16'	New attacking attempt. Julian Brandt - Borussia Dortmund - shot with right foot from the left side of the box is saved in the top left corner. Assist - Jadon Sancho.
MATCH_9: 18'	New attacking attempt. Karim Adeyemi - Borussia Dortmund - shot with right foot from the centre of the box is saved by goalkeeper in the centre of the goal.
MATCH_9: 18'	Delay in match - injury Axel Witsel - Atletico Madrid
MATCH_9: 18'	Delay in match - injury Niclas Füllkrug - Borussia Dortmund
MATCH_9: 19'	Delay over. They are ready to continue.
MATCH_9: 23'	Hand ball by Karim Adeyemi - Borussia Dortmund
MATCH_9: 24'	Offside - Atletico Madrid. Nahuel Molina is in offside.
MATCH_9: 26'	Fouled by Axel Witsel - Atletico Madrid
MATCH_9: 26'	Niclas Füllkrug - Borussia Dortmund - won a free kick in defence.
MATCH_9: 27'	Missed chance. Marcel Sabitzer - Borussia Dortmund - shot with right foot from outside the box goes high. Assist - Julian Brandt.
MATCH_9: 28'	Fouled by Emre Can - Borussia Dortmund
MATCH_9: 28'	Rodrigo De Paul - Atletico Madrid - won a free kick on the left wing.
MATCH_9: 30'	Shot blocked. Álvaro Morata - Atletico Madrid - shot with left foot from the left side of the box is blocked. Assist - Antoine Griezmann.
MATCH_9: 30'	Fouled by César Azpilicueta - Atletico Madrid
MATCH_9: 30'	Karim Adeyemi - Borussia Dortmund - won a free kick in defence.
MATCH_9: 30'	César Azpilicueta - Atletico Madrid - receive yellow card for a foul.
MATCH_9: 34'	Goal! Borussia Dortmund 1, Atletico Madrid 0. Julian Brandt - Borussia Dortmund - shot with left foot from a diffucult position on the left to the centre of the goal. Assist - Mats Hummels.
MATCH_9: 37'	Fouled by Álvaro Morata - Atletico Madrid
MATCH_9: 37'	Nico Schlotterbeck - Borussia Dortmund - won a free kick in defence.
MATCH_9: 38'	New attacking attempt. Emre Can - Borussia Dortmund - shot with right foot from outside the box is saved in the right corner. Assist - Ian Maatsen.
MATCH_9: 39'	Goal! Borussia Dortmund 2, Atletico Madrid 0. Ian Maatsen - Borussia Dortmund - shot with left foot from the left side of the box to the right corner. Assist - Marcel Sabitzer.
MATCH_9: 41'	Fouled by César Azpilicueta - Atletico Madrid
MATCH_9: 41'	Gregor Kobel - Borussia Dortmund - won a free kick in defence.
MATCH_9: 43'	César Azpilicueta - Atletico Madrid - won a free kick on the left wing.
MATCH_9: 43'	Fouled by Julian Ryerson - Borussia Dortmund
MATCH_9: 43'	Julian Ryerson - Borussia Dortmund - receive yellow card for a foul.
MATCH_9: 45+1'	Fouled by Mario Hermoso - Atletico Madrid
MATCH_9: 45+1'	Karim Adeyemi - Borussia Dortmund - won a free kick on the right wing.
MATCH_9: 45+1'	Mario Hermoso - Atletico Madrid - receive yellow card for a foul.
MATCH_9: 45+2'	Shot blocked. Nico Schlotterbeck - Borussia Dortmund - shot with the head from the centre of the box is blocked. Assist - Julian Brandt with a cross.
MATCH_9: 45+3'	First Half ended - Borussia Dortmund 2, Atletico Madrid 0.
MATCH_9: 45'	Second Half starts Borussia Dortmund 2, Atletico Madrid 0.
